Month,Region,Product,Revenue,Units,MarginPct,Satisfaction,Status
2026-01,Victoria,Alpha,78000,74,21.5,82,On Track
2026-01,New South Wales,Bravo,84500,80,22.8,84,On Track
2026-01,Queensland,Charlie,91000,86,24.1,86,On Track
2026-02,Victoria,Alpha,84000,77,21.9,83,On Track
2026-02,New South Wales,Bravo,90500,83,23.2,85,On Track
2026-02,Queensland,Charlie,97000,89,24.5,87,On Track
2026-03,Victoria,Alpha,90000,80,22.3,84,On Track
2026-03,New South Wales,Bravo,96500,86,23.6,86,On Track
2026-03,Queensland,Charlie,103000,92,24.9,88,On Track
2026-04,Victoria,Alpha,90600,83,22.7,85,On Track
2026-04,New South Wales,Bravo,97100,89,24.0,87,On Track
2026-04,Queensland,Charlie,103600,95,25.3,89,Review
2026-05,Victoria,Alpha,96600,86,21.5,86,On Track
2026-05,New South Wales,Bravo,103100,92,22.8,88,On Track
2026-05,Queensland,Charlie,109600,98,24.1,90,On Track
2026-06,Victoria,Alpha,102600,89,21.9,82,On Track
2026-06,New South Wales,Bravo,109100,95,23.2,,On Track
2026-06,Queensland,Charlie,115600,101,24.5,86,On Track
2026-07,Victoria,Alpha,103200,92,22.3,83,On Track
2026-07,New South Wales,Bravo,109700,98,23.6,85,On Track
2026-07,Queensland,Charlie,116200,104,24.9,87,On Track
2026-08,Victoria,Alpha,109200,95,22.7,84,On Track
2026-08,New South Wales,Bravo,115700,101,24.0,86,On Track
2026-08,Queensland,Charlie,122200,107,25.3,88,On Track
2026-09,Victoria,Alpha,115200,98,21.5,85,On Track
2026-09,New South Wales,Bravo,121700,104,22.8,87,On Track
2026-09,Queensland,Charlie,128200,110,24.1,89,Review
2026-10,Victoria,Alpha,115800,101,21.9,86,On Track
2026-10,New South Wales,Bravo,122300,107,23.2,88,On Track
2026-10,Queensland,Charlie,128800,113,24.5,90,On Track
2026-11,Victoria,Alpha,121800,104,22.3,82,On Track
2026-11,New South Wales,Bravo,128300,110,23.6,84,On Track
2026-11,Queensland,Charlie,134800,116,24.9,86,On Track
2026-12,Victoria,Alpha,127800,107,22.7,83,On Track
2026-12,New South Wales,Bravo,134300,113,24.0,85,On Track
2026-12,Queensland,Charlie,140800,119,25.3,87,On Track
2026-04,Victoria,Alpha,90600,83,22.7,85,On Track
2026-12,Victoria,Alpha,245000,98,24.1,88,Review
