Record_ID,Date,Region,Team,Metric_A,Metric_B,Metric_C,Score,Completion_Rate,Status,Is_Priority,Comments
REC-0001,2025-01-01,South,Alpha,85.09,142.91,54.08,81.0,0.676,Active,FALSE,Routine observation
REC-0002,2025-01-02,South,Epsilon,74.30,133.69,61.62,71.7,0.669,Active,FALSE,Follow-up recommended
REC-0003,2025-01-03,North,Gamma,74.77,135.53,43.93,80.2,0.679,Active,FALSE,Performance improving
REC-0004,2025-01-04,South,Gamma,81.62,131.79,46.89,82.0,0.694,Active,FALSE,Follow-up recommended
REC-0005,2025-01-05,South,Gamma,82.87,151.41,46.76,70.0,0.672,Review,FALSE,Follow-up recommended
REC-0006,2025-01-06,West,Epsilon,63.94,113.24,47.09,73.1,0.662,Active,FALSE,Performance improving
REC-0007,2025-01-07,West,Gamma,66.35,125.26,48.52,67.9,0.703,Review,FALSE,Within expected range
REC-0008,2025-01-08,South,Gamma,83.40,151.26,75.81,75.7,0.681,Active,TRUE,Follow-up recommended
REC-0009,2025-01-09,South,Alpha,82.49,151.49,46.78,79.0,0.548,Active,FALSE,No action required
REC-0010,2025-01-10,South,Gamma,77.88,128.22,55.07,88.6,0.648,Review,FALSE,Follow-up recommended
REC-0011,2025-01-11,South,Epsilon,80.84,138.55,,70.2,0.697,Active,TRUE,Performance improving
REC-0012,2025-01-12,West,Gamma,60.28,105.89,46.19,69.7,0.674,Active,FALSE,No action required
REC-0013,2025-01-13,South,Epsilon,86.70,160.17,37.83,69.7,0.775,Paused,FALSE,Within expected range
REC-0014,2025-01-14,South,Epsilon,80.22,134.63,,78.6,0.690,Review,FALSE,Follow-up recommended
REC-0015,2025-01-15,North,Alpha,88.31,145.66,52.66,81.6,0.665,Review,FALSE,No action required
REC-0016,2025-01-16,East,Beta,71.31,134.53,,71.2,0.735,Active,FALSE,Routine observation
REC-0017,2025-01-17,East,Alpha,77.61,141.02,36.05,78.7,0.678,Active,FALSE,No action required
REC-0018,2025-01-18,South,Alpha,93.55,181.64,48.90,83.3,0.657,Active,FALSE,Performance improving
REC-0019,2025-01-19,North,Delta,79.21,152.57,40.95,78.9,0.877,Paused,FALSE,Performance improving
REC-0020,2025-01-20,West,Epsilon,64.92,113.36,,72.4,0.705,Review,FALSE,Follow-up recommended
REC-0021,2025-01-21,West,Alpha,68.29,112.76,41.33,77.1,0.722,Review,FALSE,Routine observation
REC-0022,2025-01-22,South,Gamma,82.31,147.64,62.65,78.5,0.748,Active,FALSE,Performance improving
REC-0023,2025-01-23,North,Delta,76.25,126.34,55.03,80.7,0.656,Active,FALSE,Follow-up recommended
REC-0024,2025-01-24,East,Gamma,73.01,109.72,29.66,75.0,0.682,Active,FALSE,Routine observation
REC-0025,2025-01-25,North,Alpha,82.16,139.13,47.05,82.0,0.638,Review,FALSE,Performance improving
REC-0026,2025-01-26,North,Delta,87.84,154.87,46.15,78.0,0.717,Active,FALSE,Performance improving
REC-0027,2025-01-27,North,Alpha,89.87,153.12,49.12,81.5,0.638,Active,FALSE,Within expected range
REC-0028,2025-01-28,West,Alpha,80.47,145.24,38.15,77.5,0.718,Active,FALSE,No action required
REC-0029,2025-01-29,South,Beta,98.01,169.34,53.15,81.5,0.686,Paused,FALSE,Follow-up recommended
REC-0030,2025-01-30,North,Alpha,78.66,141.23,,79.7,0.630,Active,FALSE,Follow-up recommended
REC-0031,2025-01-31,South,Alpha,96.24,167.08,47.54,77.2,0.765,Active,FALSE,Within expected range
REC-0032,2025-02-01,South,Alpha,91.68,154.39,48.32,82.1,0.629,Active,FALSE,Performance improving
REC-0033,2025-02-02,North,Delta,93.94,164.59,37.16,79.0,0.687,Active,FALSE,Within expected range
REC-0034,2025-02-03,North,Gamma,70.22,111.04,47.54,70.4,0.774,Active,FALSE,Performance improving
REC-0035,2025-02-04,East,Beta,74.61,126.07,42.81,75.8,0.678,Paused,FALSE,Within expected range
REC-0036,2025-02-05,South,Delta,97.03,175.32,34.92,81.4,0.605,Paused,FALSE,No action required
REC-0037,2025-02-06,East,Gamma,75.50,137.39,48.18,76.8,0.578,Active,TRUE,No action required
REC-0038,2025-02-07,South,Beta,91.57,167.57,60.54,89.9,0.619,Active,FALSE,Follow-up recommended
REC-0039,2025-02-08,South,Alpha,82.68,138.38,54.71,80.4,0.622,Active,FALSE,Performance improving
REC-0040,2025-02-09,South,Epsilon,89.55,152.28,53.37,84.3,0.644,Paused,FALSE,Within expected range
REC-0041,2025-02-10,South,Gamma,79.91,144.50,52.62,82.8,0.714,Active,FALSE,
REC-0042,2025-02-11,South,Epsilon,87.03,149.50,52.53,82.3,0.643,Paused,FALSE,Routine observation
REC-0043,2025-02-12,South,Alpha,97.29,167.88,40.63,90.3,0.733,Review,FALSE,Follow-up recommended
REC-0044,2025-02-13,South,Delta,87.04,146.11,61.05,76.4,0.716,Active,FALSE,No action required
REC-0045,2025-02-14,South,Alpha,97.97,175.71,54.97,79.6,0.692,Active,FALSE,Performance improving
