OrderID,Region,Product,Segment,Channel,Revenue,Cost,Units
1001,NSW,Alpha,Enterprise,Direct,148000,83000,135
1002,NSW,Beta,SMB,Partner,92000,55000,104
1003,VIC,Alpha,Enterprise,Direct,90000,59000,94
1004,VIC,Gamma,SMB,Online,50000,34000,66
1005,QLD,Alpha,SMB,Partner,74000,46000,86
1006,QLD,Beta,Enterprise,Direct,96000,60000,97
1007,WA,Gamma,SMB,Online,41000,29000,55
1008,WA,Alpha,Enterprise,Direct,70000,46000,72
1009,NSW,Gamma,SMB,Online,90000,50000,96
1010,VIC,Beta,Enterprise,Partner,79000,51000,82
1012,WA,Beta,Enterprise,Partner,69000,44000,71
1013,SA,Alpha,Enterprise,Direct,85000,51000,88
