Month,Revenue,Orders,Cost,Margin
2023-01-01,91300,430,65371.0,25929.0
2023-02-01,97500,457,70342.99,27157.01
2023-03-01,104700,487,75894.92,28805.08
2023-04-01,112900,525,81946.68,30953.32
2023-05-01,120100,535,87096.84,33003.16
2023-06-01,123050,565,89132.02,33917.98
2023-07-01,124250,565,89720.74,34529.26
2023-08-01,122450,557,88049.21,34400.79
2023-09-01,120650,525,86178.68,34471.32
2023-10-01,129850,567,91552.3,38297.7
2023-11-01,137800,616,96049.58,41750.42
2023-12-01,148000,649,102106.81,45893.19
2024-01-01,121200,514,83511.99,37688.01
2024-02-01,127400,541,87235.46,40164.54
2024-03-01,134600,571,91884.61,42715.39
2024-04-01,138550,609,94631.19,43918.81
2024-05-01,145750,619,99819.18,45930.82
2024-06-01,152950,649,105231.0,47719.0
2024-07-01,154150,649,106781.96,47368.04
2024-08-01,152350,641,106399.82,45950.18
2024-09-01,146300,609,103156.38,43143.62
2024-10-01,155500,651,110027.47,45472.53
2024-11-01,167700,700,118727.74,48972.26
2024-12-01,177900,733,125849.27,52050.73
2025-01-01,151100,598,107910.4,43189.6
2025-02-01,153050,625,108961.74,44088.26
2025-03-01,160250,655,113286.38,46963.62
2025-04-01,168450,693,118091.8,50358.2
2025-05-01,175650,703,122113.79,53536.21
2025-06-01,182850,733,126110.66,56739.34
2025-07-01,179800,733,123305.95,56494.05
2025-08-01,178000,725,121488.46,56511.54
2025-09-01,176200,693,119888.01,56311.99
2025-10-01,185400,735,125918.02,59481.98
2025-11-01,197600,784,134233.25,63366.75
2025-12-01,203550,817,138620.64,64929.36
2026-01-01,176750,682,121281.07,55468.93
2026-02-01,182950,709,126199.17,56750.83
2026-03-01,190150,739,131850.82,58299.18
2026-04-01,198350,777,138144.92,60205.08
2026-05-01,201300,787,140805.88,60494.12
2026-06-01,208500,817,146123.35,62376.65
