Month,Region,Product,Channel,Revenue,Cost,Units,AveragePrice
2026-01,NSW,Alpha,Dealer,145000,98500,210,690.48
2026-01,VIC,Alpha,Direct,118000,80600,168,702.38
2026-01,QLD,Beta,Dealer,96000,67200,154,623.38
2026-02,NSW,Beta,Direct,132000,89100,196,673.47
2026-02,VIC,Gamma,Dealer,104000,72800,142,732.39
2026-02,QLD,Alpha,Direct,89000,60500,128,695.31
2026-03,NSW,Gamma,Dealer,158000,105500,221,714.93
2026-03,VIC,Beta,Direct,121000,83200,177,683.62
2026-03,QLD,Gamma,Dealer,99000,68800,139,712.23
2026-04,NSW,Alpha,Direct,166000,109000,233,712.45
2026-04,VIC,Gamma,Dealer,127000,86100,175,725.71
2026-04,QLD,Beta,Direct,108000,73100,160,675.00
2026-05,NSW,Beta,Dealer,174000,116000,247,704.45
2026-05,VIC,Alpha,Direct,136000,91500,190,715.79
2026-05,QLD,Gamma,Dealer,115000,78200,162,709.88
2026-06,NSW,Gamma,Direct,181000,120500,254,712.60
2026-06,VIC,Beta,Dealer,142000,95500,202,702.97
2026-06,QLD,Alpha,Direct,121000,81500,171,707.60
