RecordID,Region,Segment,Channel,Units,UnitPrice,Revenue,Cost,Profit,Satisfaction,ResponseTime,Renewal
1,VIC,Enterprise,Direct,22,125.93,4361.01,2284.41,2076.6,7.91,7.75,Yes
2,NSW,SMB,Direct,18,122.87,3376.43,1968.85,1407.57,5.21,8.63,Yes
3,QLD,SMB,Partner,22,132.05,3866.25,2332.17,1534.08,7.13,9.2,Yes
4,QLD,Mid Market,Partner,20,102.87,3004.59,1709.19,1295.4,4.68,8.7,Yes
5,VIC,Enterprise,Direct,21,110.14,4071.41,2467.5,1603.9,6.88,9.8,Yes
6,NSW,Enterprise,Direct,26,97.72,4360.06,2513.23,1846.83,7.43,6.86,Yes
7,QLD,SMB,Online,13,82.07,2086.87,1179.27,907.6,6.47,8.74,Yes
8,NSW,Mid Market,Online,14,122.43,2945.19,1877.08,1068.11,6.22,9.02,Yes
9,VIC,Enterprise,Direct,24,97.14,4194.23,2973.97,1220.25,6.71,8.26,Yes
10,NSW,SMB,Online,15,107.21,2471.31,1653.23,818.07,4.24,10.17,No
11,NSW,Mid Market,Partner,13,102.64,2812.03,1622.03,1190.0,5.99,9.53,No
12,QLD,Enterprise,Direct,25,130.87,4990.01,2837.24,2152.77,5.81,7.93,Yes
13,QLD,SMB,Online,16,104.92,2663.52,1587.99,1075.52,7.37,6.57,No
14,NSW,Enterprise,Partner,23,103.2,4209.46,2488.49,1720.97,7.6,5.36,Yes
15,VIC,SMB,Partner,19,95.2,2989.18,1890.13,1099.05,6.12,8.08,Yes
16,QLD,SMB,Partner,14,104.27,2484.26,1543.71,940.56,5.15,9.4,Yes
17,NSW,SMB,Partner,23,90.58,3476.37,2089.69,1386.68,6.3,7.98,Yes
18,QLD,SMB,Partner,18,81.96,2503.31,1513.77,989.53,4.84,10.69,Yes
19,QLD,SMB,Online,19,112.65,2960.42,1921.14,1039.28,5.7,10.07,Yes
20,VIC,Enterprise,Direct,25,98.48,4350.34,2419.42,1930.92,10,6.43,Yes
21,QLD,Mid Market,Online,18,117.97,3412.24,2131.02,1281.22,6.82,8.6,No
22,NSW,Mid Market,Partner,7,120.19,2587.77,1523.47,1064.31,6.8,7.52,Yes
23,QLD,SMB,Online,16,100.54,2435.12,1385.88,1049.24,6.02,8.42,No
24,NSW,Enterprise,Direct,20,96.51,4090.94,2619.56,1471.38,7.53,9.08,Yes
25,VIC,SMB,Online,18,101.5,2930.44,1654.92,1275.53,5.13,10.96,Yes
26,NSW,Mid Market,Direct,2,117.12,1830.53,1079.4,751.13,7.06,8.85,No
27,QLD,Mid Market,Partner,20,125.6,3694.78,2009.58,1685.2,7.31,7.55,Yes
28,QLD,SMB,Online,18,102.39,2903.49,1745.13,1158.35,5.02,9.66,Yes
